SEMEL_YISHUV,CITY_NAME,ROVA,TAT_ROVA,N_COMMUTERS,Private car - driver,Private car - passenger,Public bus,Light rail / metro,Employer transport,Israel Railways,Service taxi,Special taxi,Motorcycle / moped,Bicycle,Walking,Truck,Other vehicle
3000,"JERUSALEM",5,52,2247,26.556,2.214,47.924,3.302,0.861,0.115,0.141,1.056,0.219,0.778,16.742,0.0,0.093
3000,"JERUSALEM",5,53,2965,20.95,1.353,52.748,3.236,1.845,0.817,0.0,0.125,0.936,0.887,16.332,0.22,0.552
3000,"JERUSALEM",5,54,3897,48.005,2.59,28.206,7.094,1.566,0.516,0.239,0.173,0.334,0.438,10.837,0.0,0.0
3000,"JERUSALEM",6,61,4720,32.535,3.122,50.751,0.808,1.238,0.226,0.469,0.914,0.578,0.345,8.859,0.071,0.083
3000,"JERUSALEM",7,71,3956,12.469,0.809,44.824,0.421,2.519,0.0,0.38,0.426,0.434,0.325,36.754,0.0,0.638
3000,"JERUSALEM",7,72,3248,10.947,1.505,41.926,3.033,4.096,0.0,0.0,0.126,0.347,1.498,35.365,0.502,0.654
3000,"JERUSALEM",8,81,4375,16.781,1.726,39.631,3.546,2.224,0.813,1.06,0.065,0.495,1.002,32.096,0.115,0.448
3000,"JERUSALEM",9,91,4101,13.075,1.383,44.642,1.767,1.409,0.485,0.27,1.044,0.336,0.436,34.677,0.234,0.242
3000,"JERUSALEM",9,92,2232,9.832,2.878,52.336,2.643,1.521,0.459,0.421,0.142,0.22,3.215,26.231,0.0,0.101
3000,"JERUSALEM",10,101,6986,59.747,1.195,13.615,7.699,0.981,1.498,0.572,0.4,1.47,1.749,10.65,0.058,0.366
3000,"JERUSALEM",10,102,1741,49.321,4.438,19.291,1.092,1.686,4.221,0.0,0.0,1.546,3.635,13.545,0.0,1.225
3000,"JERUSALEM",10,103,2843,32.475,2.298,24.227,8.949,1.587,2.183,1.063,0.311,0.933,1.241,23.866,0.0,0.867
3000,"JERUSALEM",11,111,967,64.855,3.826,13.901,2.454,0.953,0.0,0.0,0.0,1.737,0.0,12.275,0.0,0.0
3000,"JERUSALEM",11,112,3877,50.684,3.344,29.78,5.753,0.825,0.265,0.161,0.362,0.839,1.238,6.629,0.0,0.119
