SEMEL_YISHUV,CITY_NAME,BOROUGH,N_COMMUTERS,Private car - driver,Private car - passenger,Public bus,Light rail / metro,Employer transport,Israel Railways,Service taxi,Special taxi,Motorcycle / moped,Bicycle,Walking,Truck,Other vehicle
4000,"HAIFA",4,20751,52.442,2.464,28.051,2.323,4.965,2.594,0.194,0.162,0.719,0.413,5.159,0.276,0.239
4000,"HAIFA",5,20948,74.026,2.459,13.167,0.782,2.489,2.011,0.042,0.115,0.699,0.153,3.725,0.145,0.188
4000,"HAIFA",6,16073,40.661,3.779,31.332,1.484,3.94,1.202,0.305,0.346,1.194,0.147,14.998,0.077,0.532
4000,"HAIFA",7,14833,51.573,2.684,31.66,0.729,5.358,0.962,0.076,0.482,0.459,0.208,4.86,0.359,0.591
4000,"HAIFA",8,9541,68.352,2.56,15.806,0.2,3.8,1.442,0.23,0.099,0.763,0.275,6.369,0.0,0.104
4000,"HAIFA",9,18501,77.606,2.574,11.804,0.124,1.787,1.904,0.041,0.18,0.185,0.32,3.187,0.0,0.29
5000,"TEL AVIV - YAFO",1,15501,62.941,1.911,17.277,0.0,0.492,1.216,0.109,0.584,2.857,3.345,8.417,0.068,0.783
5000,"TEL AVIV - YAFO",2,10683,74.192,1.601,8.72,0.135,0.252,0.752,0.242,0.34,5.185,3.324,4.568,0.058,0.627
5000,"TEL AVIV - YAFO",3,18292,34.038,0.874,28.868,0.047,1.64,0.758,0.328,0.774,5.297,12.94,11.183,0.109,3.145
5000,"TEL AVIV - YAFO",4,9354,52.302,1.53,19.788,0.148,1.24,0.867,0.144,1.191,4.08,10.649,6.098,0.0,1.963
5000,"TEL AVIV - YAFO",5,22107,30.768,0.848,22.345,0.177,1.458,0.604,0.186,0.678,5.591,10.841,23.48,0.13,2.894
5000,"TEL AVIV - YAFO",6,6792,36.976,0.564,16.733,0.143,0.908,0.756,0.245,0.763,4.211,8.431,26.494,0.0,3.777
5000,"TEL AVIV - YAFO",7,13218,37.843,1.421,33.817,0.119,2.412,0.649,0.15,0.512,4.783,7.68,8.786,0.424,1.402
5000,"TEL AVIV - YAFO",8,18681,32.868,1.189,30.833,0.074,1.569,1.446,0.072,0.735,4.608,10.403,14.409,0.225,1.57
5000,"TEL AVIV - YAFO",9,17829,48.096,1.72,21.579,0.132,0.897,1.272,0.377,0.368,6.922,5.985,11.589,0.182,0.881
5000,"TEL AVIV - YAFO",10,20862,45.211,2.22,31.989,0.07,1.396,0.677,0.162,0.424,7.774,4.054,4.593,0.508,0.923
5000,"TEL AVIV - YAFO",11,12428,73.892,2.091,8.061,0.118,0.622,0.488,0.333,0.917,3.88,4.724,3.716,0.158,1.0
5000,"TEL AVIV - YAFO",12,13560,71.62,2.085,10.445,0.089,1.111,0.522,0.06,0.482,3.565,2.358,6.852,0.245,0.568
5000,"TEL AVIV - YAFO",13,16754,28.06,1.082,28.008,0.0,1.678,0.949,0.372,1.096,5.944,12.227,17.147,0.059,3.377
5000,"TEL AVIV - YAFO",14,14612,41.724,0.987,17.568,0.15,1.275,1.188,0.167,0.652,3.599,11.321,19.319,0.088,1.962
5000,"TEL AVIV - YAFO",15,12959,47.266,2.236,22.806,0.0,1.84,0.753,0.075,0.359,6.7,6.184,10.317,0.139,1.327
6100,"BENE BERAQ",1,11644,27.252,2.713,42.527,0.106,1.685,0.081,0.094,0.286,2.69,2.765,18.532,0.239,1.03
6100,"BENE BERAQ",2,5107,15.125,2.565,41.273,0.068,3.407,0.051,0.195,0.373,0.405,0.499,35.614,0.093,0.334
6100,"BENE BERAQ",3,4400,13.663,2.407,37.988,0.088,3.115,0.0,0.151,0.433,0.291,0.373,41.347,0.088,0.057
6100,"BENE BERAQ",4,7212,18.752,2.966,42.457,0.09,2.117,0.0,0.403,0.744,0.896,1.523,29.574,0.086,0.39
